time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1991-10-27T20:54:05.780Z,33.647,-116.745,12.032,3.74,ml,0,34.8,,0.227,ci,ci2032895,2016-02-04T22:49:05.920Z,"11km SSW of Idyllwild, CA",earthquake,,0.325,,38,reviewed,ci,ci
1991-10-27T16:18:22.380Z,44.643,-114.135,5,3.6,ml,,,,0.6,us,usp0004yfy,2014-11-07T00:49:27.990Z,"southern Idaho",earthquake,,,,,reviewed,us,gs/
1991-10-26T14:42:13.620Z,40.3511667,-124.4343333,19.296,3.6,ml,14,244,0.1414,0.05,nc,nc235430,2016-12-18T19:39:40.930Z,"offshore Northern California",earthquake,1.25,0.26,,0,reviewed,nc,nc
1991-10-23T12:53:05.250Z,33.429,-116.445,12.244,3.74,mc,0,127.4,,0.168,ci,ci2032425,2016-02-05T00:20:17.220Z,"20km NNW of Borrego Springs, CA",earthquake,,0.472,,3,reviewed,ci,ci
1991-10-22T23:21:45.570Z,37.2715,-121.6495,7.023,3.5,ml,107,48,0.02432,0.04,nc,nc235103,2016-12-18T19:28:36.960Z,"Northern California",earthquake,0.09,0.24,,0,reviewed,nc,nc
1991-10-18T19:12:00.270Z,37.0633333,-116.0453333,0.01,4.5,mc,24,322,,0.19,ci,ci2032055,2016-04-02T08:49:26.081Z,"65km ENE of Beatty, NV",nuclear explosion,99,31.61,,87,reviewed,ci,ci
1991-10-12T14:44:46.700Z,33.89,-116.165,3.154,3.57,ml,0,99.1,,0.095,ci,ci751511,2016-02-04T22:14:49.390Z,"19km NNE of Indio, CA",earthquake,,0.01,,27,reviewed,ci,ci
1991-10-12T14:39:32.100Z,33.89,-116.164,2.054,4.01,ml,0,99.3,,0.251,ci,ci751510,2016-02-05T01:05:29.800Z,"19km NNE of Indio, CA",earthquake,,0.41,,30,reviewed,ci,ci
1991-10-12T12:03:04.670Z,31.582,-115.616,5.925,3.64,ml,0,276.5,,0.547,ci,ci751496,2016-02-05T01:05:28.880Z,"83km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,5,reviewed,ci,ci
1991-10-12T08:33:18.480Z,31.924,-115.851,5.726,3.6,ml,0,252.3,,0.393,ci,ci751475,2016-02-04T22:26:06.860Z,"71km ENE of Maneadero, B.C., MX",earthquake,,,,5,reviewed,ci,ci
1991-10-05T10:06:13.000Z,40.7528333,-121.554,11.726,3.5,ml,34,147,0.2153,0.11,nc,nc233276,2016-12-18T18:13:35.890Z,"Northern California",earthquake,0.36,0.91,,0,reviewed,nc,nc
1991-10-03T15:10:39.350Z,40.742,-121.5465,12.543,3.5,ml,21,160,0.2054,0.07,nc,nc233111,2016-12-18T18:06:30.709Z,"Northern California",earthquake,0.53,1.34,,0,reviewed,nc,nc
1991-09-29T05:59:06.180Z,28.605,-112.163,10,3.7,mb,,,,1.5,us,usp0004x6g,2014-11-07T00:49:18.081Z,"Gulf of California",earthquake,,,,1,reviewed,us,us
1991-09-26T14:29:30.530Z,33.265,-116.019,2.079,3.56,ml,0,22.5,,0.181,ci,ci2030277,2016-02-04T23:33:32.760Z,"7km WSW of Salton City, CA",earthquake,,0.026,,34,reviewed,ci,ci
1991-09-21T09:44:43.880Z,40.6958333,-124.6036667,14.494,4,ml,74,231,0.3,0.13,nc,nc232014,2016-12-18T17:23:10.110Z,"offshore Northern California",earthquake,0.44,0.63,,0,reviewed,nc,nc
1991-09-20T23:33:49.480Z,37.4561667,-118.8383333,4.336,3.5,ml,40,142,0.06577,0.06,nc,nc231982,2016-12-18T17:20:57.260Z,"Central California",earthquake,0.36,0.79,,0,reviewed,nc,nc
1991-09-19T16:30:00.490Z,37.2356667,-116.1663333,0.01,3.99,ml,15,261,,0.46,ci,ci2029588,2016-04-02T02:30:05.538Z,"64km NE of Beatty, NV",nuclear explosion,99,31.61,0.191,9,reviewed,ci,ci
1991-09-19T09:07:56.200Z,36.911,-121.6408333,5.491,4.3,ml,87,31,0.02613,0.1,nc,nc232220,2016-12-18T17:13:16.670Z,"Central California",earthquake,0.14,0.3,,0,reviewed,nc,nc
1991-09-19T09:06:18.390Z,36.9035,-121.6323333,5.731,4.3,ml,91,38,0.03694,0.1,nc,nc231852,2016-12-18T17:13:07.370Z,"Central California",earthquake,0.16,0.31,,0,reviewed,nc,nc
1991-09-17T21:10:29.020Z,35.8103333,-121.3348333,9.184,5.2,ml,61,167,0.04054,0.09,nc,nc231726,2016-12-18T17:05:37.390Z,"Central California",earthquake,0.22,0.4,,0,reviewed,nc,nc
1991-09-15T17:34:35.650Z,36.1683333,-120.2641667,10.407,4,ml,32,69,0.1027,0.05,nc,nc231587,2016-12-18T16:56:24.830Z,"Central California",earthquake,0.23,0.42,,0,reviewed,nc,nc
1991-09-14T19:00:00.690Z,37.2256667,-116.4281667,0.01,4.91,ml,118,237,,0.43,ci,ci2029111,2016-02-04T22:36:59.500Z,"46km NE of Beatty, NV",nuclear explosion,99,31.61,0.277,8,reviewed,ci,ci
1991-09-07T05:11:51.240Z,32.035,-116.375,5.595,3.72,ml,0,256.3,,0.352,ci,ci750112,2016-02-05T00:19:17.940Z,"30km NE of Ensenada, B.C., MX",earthquake,,,,5,reviewed,ci,ci
1991-08-18T11:07:22.760Z,40.2733333,-124.2683333,11.65,4.1,ml,24,191,0.1126,0.16,nc,nc228155,2016-12-18T14:52:48.410Z,"Northern California",earthquake,0.74,0.43,,0,reviewed,nc,nc
1991-08-18T04:28:11.550Z,40.2815,-124.3863333,6.36,3.6,ml,21,228,0.1874,0.07,nc,nc228113,2016-12-18T14:50:22.550Z,"offshore Northern California",earthquake,0.61,0.36,,0,reviewed,nc,nc
1991-08-18T03:21:53.380Z,40.2875,-124.3403333,8.06,3.6,ml,22,216,0.1613,0.13,nc,nc228104,2016-12-18T14:49:44.270Z,"Northern California",earthquake,0.61,0.34,,0,reviewed,nc,nc
1991-08-17T21:40:02.560Z,40.2938333,-124.3703333,8.45,3.7,ml,21,229,0.1838,0.12,nc,nc228055,2016-12-18T14:45:15.050Z,"offshore Northern California",earthquake,0.74,0.39,,0,reviewed,nc,nc
1991-08-17T20:55:56.680Z,40.2498333,-124.2476667,10.72,3.9,ml,31,189,0.08378,0.17,nc,nc228045,2016-12-18T14:44:29.540Z,"Northern California",earthquake,0.69,0.4,,0,reviewed,nc,nc
1991-08-17T20:17:25.350Z,40.292,-124.3568333,7.93,3.64,md,22,220,0.1748,0.08,nc,nc228042,2016-12-18T14:43:56.120Z,"offshore Northern California",earthquake,0.69,0.44,0.18,82,reviewed,nc,nc
1991-08-17T20:00:42.220Z,40.2576667,-124.2531667,6.7,3.5,md,24,198,0.09279,0.05,nc,nc228039,2016-12-18T14:43:32.230Z,"Northern California",earthquake,0.32,0.25,0.14,40,reviewed,nc,nc
1991-08-17T19:36:59.820Z,40.2535,-124.4143333,4.091,3.57,md,11,239,0.2784,0.08,nc,nc1188631,2016-12-18T14:42:12.474Z,"offshore Northern California",earthquake,1.79,2.18,0.41,9,reviewed,nc,nc
1991-08-17T19:29:40.000Z,40.2516667,-124.2858333,8.32,6,ml,32,196,0.1063,0.09,nc,nc228027,2017-04-26T17:45:59.979Z,"Northern California",earthquake,0.36,0.41,,0,reviewed,nc,nc
1991-08-15T16:00:00.310Z,37.0873333,-116.0018333,0.01,3.98,ml,18,310,,0.25,ci,ci699182,2016-04-02T02:30:20.640Z,"70km ENE of Beatty, NV",nuclear explosion,99,31.61,0.198,10,reviewed,ci,ci
1991-08-14T06:38:34.210Z,29.45,-114.013,5,4.6,mb,,,,1.3,us,usp0004vb4,2014-11-07T00:49:05.082Z,"Baja California, Mexico",earthquake,,,,10,reviewed,us,us
1991-08-12T21:11:50.020Z,38.286,-118.746,3.599,4.49,ml,0,236.9,,0.223,ci,ci2026378,2016-02-04T23:21:49.720Z,"29km SSW of Hawthorne, NV",earthquake,,,,8,reviewed,ci,ci
1991-08-09T08:49:29.000Z,38.7778333,-111.6015,7.1,3.51,md,14,82,0.139,0.16,uu,uu50059345,2018-08-28T04:25:35.330Z,"Utah",earthquake,0.4,0.85,,9,reviewed,uu,uu
1991-08-08T18:31:49.730Z,37.5453333,-118.8571667,7.144,3.5,ml,37,95,0.05135,0.05,nc,nc226309,2016-12-18T14:00:10.090Z,"Central California",earthquake,0.25,0.53,,0,reviewed,nc,nc
1991-08-07T12:49:16.660Z,43.502,-108.861,5,3.5,ml,,,,0.9,us,usp0004v34,2014-11-07T00:49:03.913Z,"Wyoming",earthquake,,,,,reviewed,us,but
1991-08-05T05:59:48.940Z,28.39,-112.152,10,3.9,mb,,,,1.4,us,usp0004v0j,2014-11-07T00:49:03.091Z,"Gulf of California",earthquake,,,,1,reviewed,us,us
1991-08-03T09:59:49.870Z,34.093,-117.312,16.442,3.6,ml,0,25.7,,0.138,ci,ci698180,2016-02-04T22:47:43.580Z,"2km N of Colton, CA",earthquake,,0.047,,31,reviewed,ci,ci
1991-08-02T16:58:24.870Z,26.73,-112.409,10,4,mb,,,,0.8,us,usp0004ux5,2014-11-07T00:49:02.164Z,"Baja California Sur, Mexico",earthquake,,,,1,reviewed,us,us
1991-07-29T04:07:10.900Z,41.7795,-124.6606667,27.954,4.3,ml,34,284,0.5892,0.4,nc,nc225648,2016-12-18T13:30:07.705Z,"offshore Northern California",earthquake,7.73,3,,0,reviewed,nc,nc
1991-07-23T04:34:33.190Z,38.826,-122.773,1.863,3.5,ml,51,44,0.02523,0.06,nc,nc225526,2016-12-18T13:13:52.000Z,"Northern California",earthquake,0.11,1.1,,0,reviewed,nc,nc
